Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
240;17.1977;19.534;50;16.5916;50;16.2533
241;13.5977;15.934;50;12.9916;50;12.6533
242;9.9977;12.334;50;9.3916;50;9.0533
243;6.4623;8.7489;50;5.8652;50;5.5363
244;3.0036;5.2405;50;2.4384;50;2.1188
245;0.6401;1.7937;50;0.369;50;0.2092
246;0;0.0352;50;0;50;0
247;0;0;50;0;50;0
248;0;0;50;0;50;0
249;0;0;50;0;50;0
250;0;0;50;0;50;0
251;0;0;50;0;50;0
252;0;0;50;0;50;0
253;0;0;50;0;50;0
254;0;0;50;0;50;0
255;0;0;50;0;50;0
256;0;0;50;0;50;0
257;0;0;50;0;50;0
258;0;0;50;0;50;0
259;0;0;50;0;50;0
260;0;0;50;0;50;0
261;0;0;50;0;50;0
262;0;0;50;0;50;0
263;0;0;50;0;50;0
264;0;0;50;0;50;0
265;0;0;50;0;50;0
266;0;0;50;0;50;0
267;0;0;50;0;50;0
268;0;0;50;0;50;0
269;0;0;50;0;50;0
270;0.4114;0;50;0.6894;50;0.8586
271;2.6228;1.0432;50;3.1789;50;3.5172
272;6.2228;3.8865;50;6.7789;50;7.1172
273;9.8228;7.4865;50;10.3789;50;10.7172
274;13.4228;11.0865;50;13.9789;50;14.3172
275;17.0228;14.6865;50;17.5789;50;17.9172
276;20.6228;18.2736;50;21.1789;50;21.5172
277;24.1929;21.7303;50;24.7761;50;25.1099
278;27.7092;24.6827;50;28.3093;50;28.5858
279;30.9861;27.2053;50;31.7033;50;31.6243
280;33.3584;29.531;50;33.7808;50;33.5897
281;34.2;31.3327;50;34.2;50;34.2
282;34.2;32.8325;50;34.2;50;34.2
283;34.2;33.9083;50;34.2;50;34.2
284;34.2;34.2;50;34.2;50;34.2
285;34.2;34.2;50;34.2;50;34.2
286;34.2;34.2;50;34.2;50;34.2
287;34.2;34.2;50;34.2;50;34.2
288;34.2;34.2;50;34.2;50;34.2
289;34.2;34.2;50;34.2;50;34.2
290;34.2;34.2;50;34.2;50;34.2
291;34.2;34.2;50;34.2;50;34.2
292;33.0025;34.2;50;32.7206;50;32.5609
293;30.0202;32.9186;50;29.4506;50;29.137
294;26.4507;29.8372;50;25.8694;50;25.5677
295;22.8813;26.2372;50;22.2882;50;21.9983
296;19.3118;22.6372;50;18.707;50;18.4289
297;15.7423;19.0372;50;15.1259;50;14.8596
298;12.1729;15.4372;50;11.5447;50;11.2902
299;8.6043;11.8372;50;7.9967;50;7.7208
300;5.1283;8.2414;50;4.5213;50;4.273
301;1.7441;4.7471;50;1.4017;50;1.305
302;0.026;1.5243;50;0;50;0
303;0;0;50;0;50;0
304;0;0;50;0;50;0
305;0;0;50;0;50;0
306;0;0;50;0;50;0
307;0;0;50;0;50;0
308;0;0;50;0;50;0
309;0;0;50;0;50;0
310;0;0;50;0;50;0
311;0;0;50;0;50;0
312;0;0;50;0;50;0
313;0;0;50;0;50;0
314;0;0;50;0;50;0
315;0;0;50;0;50;0
316;0;0;50;0;50;0
317;0;0;50;0;50;0
318;0;0;50;0;50;0
319;0;0;50;0;50;0
320;0;0;50;0;50;0
321;0;0;50;0;50;0
322;0;0;50;0;50;0
323;0;0;50;0;50;0
324;0;0;50;0;50;0
325;0;0;50;0;50;0
326;0;0;50;0;50;0
327;0;0;50;0;50;0
328;0;0;50;0;50;0
329;0;0;50;0;50;0
330;0;0;50;0;50;0
331;0;0;50;0;50;0
332;0;0;50;0;50;0
333;0;0;50;0;50;0
334;0;0;50;0;50;0
335;0;0;50;0;50;0
336;0;0;50;0;50;0
337;0;0;50;0;50;0
338;0;0;50;0;50;0
339;0;0;50;0;50;0
340;0;0;50;0;50;0
341;0;0;50;0;50;0
342;0;0;50;0;50;0
343;0;0;50;0;50;0
344;0;0;50;0;50;0
345;0;0;50;0;50;0
346;0;0;50;0;50;0
347;0;0;50;0;50;0
348;0;0;50;0;50;0
349;0;0;50;0;50;0
350;0;0;50;0;50;0
351;0;0;50;0;50;0
352;0;0;50;0;50;0
353;0;0;50;0;50;0
354;0;0;50;0;50;0
355;0;0;50;0;50;0
356;0;0;50;0;50;0
357;0;0;50;0;50;0
358;0;0;50;0;50;0.0253
359;1.4124;0;50;1.7714;50;1.8506
360;4.6248;1.6246;50;5.3429;50;5.4506
361;8.2248;5.0493;50;8.9429;50;9.0506
362;11.8248;8.6493;50;12.5429;50;12.6506
363;15.4248;12.2493;50;16.1429;50;16.2506
364;19.0248;15.8323;50;19.7429;50;19.8506
365;22.6248;19.3053;50;23.3429;50;23.45
366;26.1744;22.5124;50;26.9116;50;27.0149
367;29.2993;25.2025;50;29.8895;50;29.9695
368;30.9872;27.6287;50;31.1994;50;31.2292
369;31.3;29.9296;50;31.3;50;31.3
370;31.3;31.1387;50;31.3;50;31.3
371;30.0393;31.3;50;29.6806;50;29.6268
372;27.1393;29.8219;50;26.7806;50;26.7268
373;25.5;26.9431;50;25.5;50;25.5
374;25.5;25.5212;50;25.5;50;25.5
375;25.5;25.5;50;25.5;50;25.5
376;25.5;25.5;50;25.5;50;25.5
377;25.5;25.5;50;25.8007;50;25.7662
378;26.903;25.5;50;27.793;50;27.5785
379;29.9994;26.3585;50;31.1591;50;30.7685
380;33.2057;28.4733;50;34.4114;50;33.9242
381;35.8801;30.778;50;36.5447;50;36.267
382;37.0708;32.9056;50;37.1;50;37.099
383;37.1;35.1937;50;37.1;50;37.1
384;37.1;36.7514;50;37.1;50;37.1
385;37.1;37.1;50;37.1;50;37.1
386;37.1;37.1;50;37.1;50;37.1
387;37.1;37.1;50;37.1;50;37.1
388;37.1;37.1;50;37.1;50;37.1
389;37.1;37.1;50;37.1;50;37.1
390;37.1;37.1;50;37.1;50;37.1
391;37.1;37.1;50;37.1;50;37.1
392;37.1;37.1;50;37.1;50;37.1
393;37.1;37.1;50;37.1;50;37.1
394;37.1;37.1;50;37.1;50;37.1
395;36.6364;37.1;50;36.2719;50;36.2168
396;34.8364;37.1;50;34.4719;50;34.4168
397;33.5;35.8764;50;33.5;50;33.5
398;33.5486;34.0764;50;33.925;50;33.8329
399;34.5486;33.5;50;34.925;50;34.8329
400;35.5;34.2378;50;35.5;50;35.5
401;35.5;35.2378;50;35.5;50;35.5
402;35.5;35.5;50;35.5;50;35.5
403;35.3997;35.5;50;34.9313;50;34.9798
404;33.4993;35.5;50;32.5627;50;32.6596
405;29.8993;34.1445;50;28.9627;50;29.0596
406;26.2993;30.9889;50;25.3627;50;25.4596
407;22.6993;27.3889;50;21.7627;50;21.8596
408;19.291;23.7889;50;18.7813;50;18.8298
409;18.4633;20.1889;50;19.1553;50;18.9899
410;21.0439;18.2897;50;22.5106;50;22.1798
411;24.6421;19.8203;50;26.0937;50;25.7681
412;28.1803;23.2123;50;29.587;50;29.2733
413;31.506;26.7389;50;32.4558;50;32.2612
414;33.3959;30.1942;50;33.6572;50;33.6161
415;33.7;32.7926;50;33.7;50;33.7
416;33.7;33.7;50;33.7;50;33.7
417;33.7;33.7;50;33.7;50;33.7
418;33.7;33.7;50;33.7;50;33.7
419;33.7;33.7;50;33.7;50;33.7
420;33.7;33.7;50;33.7;50;33.7
421;33.7;33.7;50;33.7;50;33.7
422;33.7;33.7;50;33.7;50;33.7
423;33.7;33.7;50;33.7;50;33.7
424;33.7;33.7;50;33.7;50;33.7
425;33.7;33.7;50;33.7;50;33.7
426;33.7;33.7;50;33.7;50;33.7
427;33.7;33.7;50;33.7;50;33.7
428;33.7;33.7;50;33.7;50;33.7
429;33.129;33.7;50;32.2004;50;32.2646
430;30.758;33.7;50;28.9813;50;29.119
431;27.158;31.9629;50;25.542;50;25.6987
432;23.558;28.4258;50;22.1027;50;22.2785
433;19.958;24.8258;50;18.6634;50;18.8582
434;16.358;21.2258;50;15.2242;50;15.4379
435;12.758;17.6258;50;11.7849;50;12.0176
436;9.158;14.0258;50;8.3456;50;8.5974
437;5.6333;10.4258;50;4.998;50;5.2611
438;2.2293;6.8586;50;1.7459;50;2.0146
439;0.275;3.4122;50;0.0608;50;0.1972
440;0;0.8664;50;0;50;0
441;0;0;50;0;50;0
442;0;0;50;0;50;0
443;0;0;50;0;50;0
444;1.5053;0;50;1.7326;50;1.581
445;4.8105;0.8714;50;5.2652;50;4.962
446;8.4105;3.5427;50;8.8652;50;8.562
447;12.0105;7.1427;50;12.4652;50;12.162
448;15.6105;10.7427;50;16.0652;50;15.7255
449;18.1053;14.3103;50;18.3326;50;18.1445
450;18.8;17.3808;50;18.8;50;18.8
451;18.8;18.7418;50;18.8;50;18.8
452;18.8;18.8;50;18.8;50;18.8
453;18.8;18.8;50;18.8;50;18.8
454;18.8;18.8;50;18.8;50;18.8
455;18.8;18.8;50;18.8;50;18.8
456;18.0356;18.8;50;17.8096;50;17.9656
457;15.7856;18.6837;50;15.5596;50;15.7156
458;14.3;16.7974;50;14.3;50;14.3
459;14.3;14.6637;50;14.3;50;14.3
460;14.3;14.3;50;14.3;50;14.3
461;14.3;14.3;50;14.3;50;14.3
462;14.3;14.3;50;14.3;50;14.3
463;14.3;14.3;50;14.3;50.1973;14.3
464;14.3;14.3;50;14.3;50.9616;14.3
465;14.3;14.3;50;14.3;52.1275;14.3
466;14.3;14.3;50.1843;14.3;53.3128;14.3
467;14.3;14.3;50.5824;14.3;54.4602;14.3
468;13.7173;14.3;51.0118;13.4899;55.5559;13.6473
469;11.3345;14.3;51.4413;10.8799;56.6003;11.1946
470;7.7478;12.5654;51.8673;7.3067;57.5953;7.612
471;4.2689;9.0309;52.2893;3.8415;58.543;4.1373
472;1.2884;5.5131;52.7074;1.0747;59.4454;1.2226
473;0;2.1033;53.1215;0;60.3045;0
474;0;0.2056;53.5316;0;61.1222;0
475;0;0;53.9377;0;61.9003;0
476;0;0;54.3398;0;62.6406;0
477;0;0;54.7379;0;63.3449;0
478;0;0;55.1321;0;64.0231;0
479;0;0;55.5223;0;64.6866;0
480;0;0;55.9085;0;65.3274;0
481;0;0;56.291;0;65.9505;0
482;0;0;56.6842;0;66.5633;0
483;0;0;57.0918;0;67.1522;0
484;0;0;57.4994;0;67.7252;0
485;0;0;57.9159;0;68.2699;0
486;0;0;58.3487;0;68.7689;0
487;0;0;58.7843;0;69.1436;0
488;0;0;59.227;0;69.2779;0
489;0;0;59.6853;0;69.2779;0
490;0;0;60.1463;0;69.2779;0
491;0;0;60.6083;0;69.2779;0
492;0;0;61.0768;0;69.2779;0
493;0;0;61.5397;0;69.2779;0
494;0;0;61.9884;0;69.2779;0
495;0;0;62.4232;0;69.2779;0
496;0.7895;0;62.8444;1.0168;69.2779;0.8594
497;3.3789;0.1413;63.2525;3.8336;69.2779;3.5189
498;6.9789;2.0826;63.6479;7.4336;69.2779;7.1189
499;9.9395;5.6826;64.0326;10.1668;69.2779;10.0094
500;11.1;9.0719;64.4566;11.1;69.2779;11.1
501;11.1;10.8806;64.97;11.1;69.2779;11.1
502;11.1;11.1;65.5723;11.1;69.2779;11.1
503;11.1;11.1;66.2602;11.1;69.2779;11.1
504;11.1;11.1;67.0346;11.1;69.2779;11.1
